twee_id,date and time,tweet
5.8556E+17,Tue Apr 07 21:50:24 +0000 2015,Teen artist is trapped in toddler's body  http://ow.ly/LiUSJ
5.85553E+17,Tue Apr 07 21:20:09 +0000 2015,US Ebola patient's condition improves to good  http://ow.ly/LiUQ7
5.85548E+17,Tue Apr 07 21:00:43 +0000 2015,Listing patients as 'next of kin' at hospitals may cause legal confusion  http://ow.ly/LiUMG
5.85541E+17,Tue Apr 07 20:35:18 +0000 2015,Some supplements on market contain untested stimulant  http://ow.ly/LiCJS
5.85534E+17,Tue Apr 07 20:05:28 +0000 2015,"Lauren Hill's cancer leaves her weak, but still fighting http://ow.ly/LiCDd"
5.85528E+17,Tue Apr 07 19:40:34 +0000 2015,"Study finds risk of breast, ovarian cancer dependent on type of BRCA1 or BRCA2 mutation  http://ow.ly/LiCwz via @AHLex3889"
5.8552E+17,Tue Apr 07 19:10:45 +0000 2015,"Remove financial barriers to organ donation, experts say  http://ow.ly/LiCs4"
5.85514E+17,Tue Apr 07 18:45:41 +0000 2015,"For some elderly, unclogging leg arteries doesn't improve mobility  http://ow.ly/LiCmF"
5.85507E+17,Tue Apr 07 18:20:11 +0000 2015,Skin cancer removal with miniaturized radiation  http://ow.ly/LiCiC
5.85501E+17,Tue Apr 07 17:55:06 +0000 2015,Near-death experiences: What happens in the brain before dying   http://ow.ly/LiCeE
5.85495E+17,Tue Apr 07 17:30:10 +0000 2015,Tuberculosis testing interrupts Ohio school's spring break http://ow.ly/LigQS
5.8549E+17,Tue Apr 07 17:10:30 +0000 2015,Study finds breast cancer overtreatment costs US $4B per year  http://ow.ly/LigiQ
5.85484E+17,Tue Apr 07 16:45:43 +0000 2015,Maggot infestation saves man’s life http://ow.ly/Lig2W
5.85477E+17,Tue Apr 07 16:20:36 +0000 2015,"After losing daughter, California mom vows to raise awareness of deadly amoeba   http://ow.ly/LidGT"
5.85473E+17,Tue Apr 07 16:02:52 +0000 2015,Rare canine flu outbreak in Chicago kills 5 dogs http://ow.ly/LidDJ
5.85466E+17,Tue Apr 07 15:35:07 +0000 2015,Coaching Lauren: Dying player's coach reflects on year http://ow.ly/LidzD
5.85458E+17,Tue Apr 07 15:05:11 +0000 2015,"Brain scans may identify concussion-related disease, study says http://ow.ly/LiduS"
5.85452E+17,Tue Apr 07 14:40:17 +0000 2015,"Most commercial weight loss programs aren’t backed by scientific evidence, study says  http://ow.ly/Lidmt via @mindyC_"
5.85444E+17,Tue Apr 07 14:10:07 +0000 2015,"Little-known neurological condition causes uncontrollable crying, laughter http://ow.ly/LicX5"
5.85439E+17,Tue Apr 07 13:50:08 +0000 2015,"Super-healthy, diet-friendly seafood http://ow.ly/LicMo"
5.85435E+17,Tue Apr 07 13:34:01 +0000 2015,5 ways your commute is hurting your health   http://ow.ly/LicJy
5.85219E+17,Mon Apr 06 23:15:36 +0000 2015,"Rare condition causes girl, 4, to be addicted to eating carpet  http://ow.ly/Lghqn"
5.85214E+17,Mon Apr 06 22:55:08 +0000 2015,North Carolina families raising funds for rare disease research to save baby boys  http://ow.ly/Lghiy
5.85205E+17,Mon Apr 06 22:20:25 +0000 2015,Mom catches life-threatening infection after sharing makeup brush with friend  http://ow.ly/LghdN
5.85198E+17,Mon Apr 06 21:50:10 +0000 2015,Docs remove 2.75 inch leech from boy’s throat  http://ow.ly/LfQ4x
5.8519E+17,Mon Apr 06 21:20:09 +0000 2015,3rd Salisbury University student diagnosed with tuberculosis  http://ow.ly/LfNTK
5.85186E+17,Mon Apr 06 21:01:55 +0000 2015,Less than recommended physical activity may still lengthen life http://ow.ly/LfNOC
5.85179E+17,Mon Apr 06 20:35:14 +0000 2015,"Cigarette smoke makes superbugs even more aggressive, study finds  http://ow.ly/LfyEP"
5.85173E+17,Mon Apr 06 20:10:43 +0000 2015,How Mozart could make your cat spaying safer  http://ow.ly/Lfyz9
5.85168E+17,Mon Apr 06 19:50:08 +0000 2015,"Scary new drug can give users extreme strength, delusions  http://ow.ly/Lfyps"
5.85158E+17,Mon Apr 06 19:10:22 +0000 2015,‘Grandparenting’ in moderation might help keep the mind sharp   http://ow.ly/LfuDj
5.85149E+17,Mon Apr 06 18:35:16 +0000 2015,Obese people may be more sensitive to food smells  http://ow.ly/LfuxC
5.85141E+17,Mon Apr 06 18:05:40 +0000 2015,Is fish oil safe during chemotherapy? http://ow.ly/Lfurg
5.85135E+17,Mon Apr 06 17:40:30 +0000 2015,Childhood ADHD linked to secondhand smoking  http://ow.ly/Lfuhq
5.85129E+17,Mon Apr 06 17:15:40 +0000 2015,Indiana begins needle exchange in county with HIV outbreak  http://ow.ly/LfucD
5.85127E+17,Mon Apr 06 17:10:27 +0000 2015,Self-cleaning pen helps prevent school absences at Texas elementary school  http://ow.ly/Lfum2
5.85124E+17,Mon Apr 06 16:55:28 +0000 2015,Sierra Leone's Kailahun district records first Ebola case in months  http://ow.ly/Lfu7Y
5.85116E+17,Mon Apr 06 16:25:20 +0000 2015,Texas grocery chain H-E-B pulls all Blue Bell products  http://ow.ly/LftZg
5.8511E+17,Mon Apr 06 16:01:57 +0000 2015,Dallas hospital seeks dismissal of nurse's suit over Ebola http://ow.ly/LftUv
5.85102E+17,Mon Apr 06 15:30:16 +0000 2015,"Breast milk purchased online may be topped with cow’s milk, study finds   http://ow.ly/LftL7 via @EditorNicoleK"
5.85096E+17,Mon Apr 06 15:05:26 +0000 2015,15 simple ways to avoid medication mistakes  http://ow.ly/LftIb
5.85093E+17,Mon Apr 06 14:55:20 +0000 2015,3 lifestyle changes to avoid constipation  http://ow.ly/LftFA
5.84117E+17,Fri Apr 03 22:15:16 +0000 2015,This drug could be better than medical marijuana  http://ow.ly/LaPHY
5.84113E+17,Fri Apr 03 22:00:31 +0000 2015,Maryland man blames shoplifting on temporary amnesia  http://ow.ly/LaPDz
5.84107E+17,Fri Apr 03 21:35:05 +0000 2015,Odd tune: Trumpeter's neck swells like a bullfrog http://ow.ly/LaIck
5.84099E+17,Fri Apr 03 21:05:09 +0000 2015,Cleaning with bleach may lead to childhood infections  http://ow.ly/LaGMh
5.84088E+17,Fri Apr 03 20:20:33 +0000 2015,17-year-old girl living in ‘100-year-old body' dies  http://ow.ly/LaGpM
5.84079E+17,Fri Apr 03 19:45:19 +0000 2015,This drug could be better than medical marijuana http://ow.ly/LaCFF
5.84074E+17,Fri Apr 03 19:25:07 +0000 2015,Asthma very common among Olympic-level swimmers http://ow.ly/Laj06
5.84068E+17,Fri Apr 03 19:00:23 +0000 2015,How children develop the idea of free will http://ow.ly/LaiWJ
5.8406E+17,Fri Apr 03 18:30:17 +0000 2015,France bans super-skinny models in anorexia clampdown http://ow.ly/LaiTV
5.84054E+17,Fri Apr 03 18:05:06 +0000 2015,Deadly snakes ‘milked’ to create potent new anti-venom  http://ow.ly/LaiQF
5.84048E+17,Fri Apr 03 17:40:27 +0000 2015,Walking may help overweight people curb sugar cravings  http://ow.ly/LaiOe
5.84044E+17,Fri Apr 03 17:25:19 +0000 2015,"Night owls at higher risk of diabetes, other illnesses  http://ow.ly/LaiLN"
5.84038E+17,Fri Apr 03 17:02:08 +0000 2015,The way you apply eyeliner could be unhealthy   http://ow.ly/LaiJw
5.84033E+17,Fri Apr 03 16:40:25 +0000 2015,Scientists invent perfume that smells better as you sweat  http://ow.ly/LaiGV
5.84026E+17,Fri Apr 03 16:15:08 +0000 2015,Psychiatrist coping with immune deficiency counsels others with chronic disease http://ow.ly/LaiD0 via @mindyC_
5.8402E+17,Fri Apr 03 15:50:17 +0000 2015,Family seeks answers after mystery illness paralyzes 20-month-old boy  http://ow.ly/LaiAs
5.84015E+17,Fri Apr 03 15:30:12 +0000 2015,"Blind man completes Tough Mudder, vows to run in Boston Marathon  http://ow.ly/LaiwC"
5.84006E+17,Fri Apr 03 14:55:05 +0000 2015,"Connecticut teen must complete cancer treatment in hospital, judge says  http://ow.ly/Laiuk"
5.84006E+17,Fri Apr 03 14:53:18 +0000 2015,The curious story of the man who 'laid an egg' http://ow.ly/Laior via @EditorNicoleK http://pbs.twimg.com/media/CBrOJXCUIAIhRxi.jpg
5.83999E+17,Fri Apr 03 14:25:07 +0000 2015,Doctors find half-pound fat ‘egg’ in 62-year-old man http://ow.ly/Laior via @EditorNicoleK
5.83991E+17,Fri Apr 03 13:55:03 +0000 2015,What to know before exercising outdoors with allergies http://ow.ly/Laik4
5.83988E+17,Fri Apr 03 13:41:44 +0000 2015,6 no-equipment cardio moves that tighten and tone your butt http://ow.ly/LaihJ
5.83726E+17,Thu Apr 02 20:20:43 +0000 2015,"Element of surprise helps babies learn, study says http://www.foxnews.com/health/2015/04/02/element-surprise-helps-babies-learn-study-says/"
5.83717E+17,Thu Apr 02 19:45:36 +0000 2015,"Top US turkey producer Minnesota finds fourth bird flu case, USDA says  http://ow.ly/L8x9X"
5.83708E+17,Thu Apr 02 19:10:07 +0000 2015,"Some ants have more taste for human food than others, study says  http://ow.ly/L8x6L"
5.83704E+17,Thu Apr 02 18:52:53 +0000 2015,Patients may prefer getting biopsy results by phone  http://ow.ly/L8x2a
5.83703E+17,Thu Apr 02 18:48:22 +0000 2015,Minimally invasive surgery safe for rectal cancer  http://ow.ly/L8wWE
5.83702E+17,Thu Apr 02 18:45:33 +0000 2015,"India likely to add more AIDs, TB drugs to essential medicines http://ow.ly/L82cH"
5.83685E+17,Thu Apr 02 17:40:06 +0000 2015,What is Morgellons disease? http://ow.ly/L8221
5.83677E+17,Thu Apr 02 17:05:25 +0000 2015,Obese children may have a harder time tasting fats than leaner kids  http://ow.ly/L80oz
5.83675E+17,Thu Apr 02 17:00:38 +0000 2015,UPDATE: Patient tests negative for #Ebola in Colorado http://ow.ly/L8tVb
5.83668E+17,Thu Apr 02 16:30:15 +0000 2015,Older men who exercise more have better erectile function  http://ow.ly/L80hv
5.83663E+17,Thu Apr 02 16:10:08 +0000 2015,Fetal DNA tests prove highly accurate but experts warn of exceptions http://ow.ly/L80c3
5.83657E+17,Thu Apr 02 15:45:37 +0000 2015,Patient evaluated for Ebola at Colorado hospital after seeing symptoms http://ow.ly/L7ZxY
5.8365E+17,Thu Apr 02 15:20:30 +0000 2015,Arkansas man's kidney failure stemmed from too much iced tea http://ow.ly/L7ZsR
5.83645E+17,Thu Apr 02 15:00:11 +0000 2015,Pregnant woman walks to hospital to give birth after ambulance carrying her crashes http://ow.ly/L7Wxi
5.83639E+17,Thu Apr 02 14:35:25 +0000 2015,How to get a ripped chest without working out http://ow.ly/L7Wut
5.83633E+17,Thu Apr 02 14:10:57 +0000 2015,5 surprising ways men and women sense things differently  http://ow.ly/L7WqE
5.83397E+17,Wed Apr 01 22:35:07 +0000 2015,India to repackage state-supplied condoms in bid to attract users  http://ow.ly/L5OIA
5.8339E+17,Wed Apr 01 22:05:10 +0000 2015,10 Ebola cases found during Sierra Leone's shutdown http://ow.ly/L5NKV
5.83382E+17,Wed Apr 01 21:35:07 +0000 2015,This state has the highest use of mood-altering drugs  http://ow.ly/L5trq
5.83377E+17,Wed Apr 01 21:15:16 +0000 2015,Study finds stem cells can be manipulated to promote bone growth   http://ow.ly/L5tnA via @AHLex3889
5.83371E+17,Wed Apr 01 20:50:16 +0000 2015,"Military suicides aren't linked to deployment, study finds  http://ow.ly/L5tk0"
5.83363E+17,Wed Apr 01 20:20:36 +0000 2015,"Kids allowed to sip alcohol more likely to drink as teens, study says  http://ow.ly/L5cOG"
5.83357E+17,Wed Apr 01 19:55:21 +0000 2015,"Acetaminophen not effective for lower back pain, study finds  http://ow.ly/L59OG"
5.83349E+17,Wed Apr 01 19:25:10 +0000 2015,"California getting ‘second-hand’ smog from China, researchers say  http://ow.ly/L4Wyq"
5.83344E+17,Wed Apr 01 19:02:14 +0000 2015,Five US health workers released after Ebola monitoring in Nebraska  http://ow.ly/L4WrE
5.83333E+17,Wed Apr 01 18:20:44 +0000 2015,Pessimism and anxiety can improve performance http://ow.ly/L4Wnz
5.83326E+17,Wed Apr 01 17:50:17 +0000 2015,Leg strap monitors lactic acid for better workouts http://ow.ly/L4WjC
5.83319E+17,Wed Apr 01 17:25:06 +0000 2015,Bizarre condition makes tongue resemble geographic map   http://ow.ly/L4VKd
5.83314E+17,Wed Apr 01 17:05:21 +0000 2015,Peanuts and other nuts are good for you after all--here's why http://ow.ly/L4VG7
5.83308E+17,Wed Apr 01 16:40:34 +0000 2015,Hundreds rally around 11-year-old battling ovarian cancer  http://ow.ly/L4VCI
5.83302E+17,Wed Apr 01 16:15:25 +0000 2015,3-D print technology provides ‘robohand’ to 7-year-old girl  http://ow.ly/L4Vvn
5.83297E+17,Wed Apr 01 15:55:10 +0000 2015,"Next generation GMOS may include cancer-fighting pink pineapples, heart-healthy purple tomatoes http://ow.ly/L4Vmo"
5.83294E+17,Wed Apr 01 15:43:34 +0000 2015,RT @drmannyonFOX: When 'feeling the burn' is a bad thing - 8 tips for soothing #heartburn during #pregnancy http://ow.ly/L2VI3
5.83292E+17,Wed Apr 01 15:35:19 +0000 2015,Web searches may predict disease risk among populations http://ow.ly/L4V5x
5.83285E+17,Wed Apr 01 15:10:10 +0000 2015,10 best foods for muscle growth http://ow.ly/L4UVe
5.83279E+17,Wed Apr 01 14:45:10 +0000 2015,Workout mixes drumming and full-body cardio http://ow.ly/L4UMw
5.83273E+17,Wed Apr 01 14:20:34 +0000 2015,Germanwings tragedy highlights stigma surrounding mental illness http://ow.ly/L4UG1
5.83268E+17,Wed Apr 01 14:00:08 +0000 2015,African plant outlawed in US may offer treatment for addicts http://ow.ly/L4Uiq
5.83265E+17,Wed Apr 01 13:48:05 +0000 2015,How being in a relationship can affect your health http://ow.ly/L4Uzb
5.83044E+17,Tue Mar 31 23:10:09 +0000 2015,"The power of positivity: How banishing negative thoughts helped me beat pancreatic #cancer, twice http://ow.ly/L2SHU"
5.83036E+17,Tue Mar 31 22:40:33 +0000 2015,How many Americans could get Ebola? Study provides estimates  http://ow.ly/L2G0x
5.83027E+17,Tue Mar 31 22:05:16 +0000 2015,Guess your age? 3D facial scan beats doctor's exam  http://ow.ly/L2CJC
5.83019E+17,Tue Mar 31 21:31:14 +0000 2015,Mother forced to choose which child to save with kidney transplant http://ow.ly/L2rdL
5.83014E+17,Tue Mar 31 21:10:48 +0000 2015,Forceps left in woman’s abdomen during botched operation   http://ow.ly/L2ra8
5.83007E+17,Tue Mar 31 20:45:19 +0000 2015,Woman's car window plea gets her a kidney donor http://ow.ly/L2r5r
5.83002E+17,Tue Mar 31 20:25:30 +0000 2015,"We might be breathing in DNA from superbugs, study finds   http://ow.ly/L2r1K"
5.82997E+17,Tue Mar 31 20:06:38 +0000 2015,Teens with HIV fare worse when parents don't come to clinic appointments  http://ow.ly/L2gD0
5.82991E+17,Tue Mar 31 19:40:08 +0000 2015,"New cancer drugs 'vastly overestimated,' says contrarian analyst  http://ow.ly/L2gvP"
5.82985E+17,Tue Mar 31 19:15:23 +0000 2015,"Disabled protein plays role in progression of some forms of ALS, study finds http://ow.ly/L2gpT"
5.82981E+17,Tue Mar 31 19:02:32 +0000 2015,Recovery from surgery quicker with hospitals' new protocol  http://ow.ly/L28j7
5.82976E+17,Tue Mar 31 18:40:15 +0000 2015,Priest who took ice bucket challenge with Pittsburgh bishop dies of ALS    http://ow.ly/L28bZ
5.82969E+17,Tue Mar 31 18:15:09 +0000 2015,What are risks of early menopause?  http://ow.ly/L1Jbl
5.82963E+17,Tue Mar 31 17:50:33 +0000 2015,"Biogen shortens name, expands ambitions in Alzheimer's, ALS  http://ow.ly/L286C"
5.82959E+17,Tue Mar 31 17:35:24 +0000 2015,China aims to double doctor numbers as cure for healthcare woes http://ow.ly/L1Jj7
5.82956E+17,Tue Mar 31 17:23:39 +0000 2015,"Man with cerebral palsy completes Ironman Kona, conquers Mt. Kilimanjaro http://ow.ly/L2xYQ via @mindyc_"
5.82951E+17,Tue Mar 31 17:01:52 +0000 2015,Sierra Leone Ebola lockdown exposes hundreds of suspected cases  http://ow.ly/L1J2l
5.82944E+17,Tue Mar 31 16:35:25 +0000 2015,Mexican double transplant patient gets 90-day humanitarian pass from DHS http://ow.ly/L1Ioi
5.82934E+17,Tue Mar 31 15:55:06 +0000 2015,"Saffron supplements prevent muscle weakness, pain after workout http://ow.ly/L1Ien"
5.82925E+17,Tue Mar 31 15:20:26 +0000 2015,"US cancer incidence, mortality largely stable or decreasing  http://ow.ly/L1I60"
5.82919E+17,Tue Mar 31 14:56:29 +0000 2015,Alabama baby born without a nose http://ow.ly/L23BA
5.82919E+17,Tue Mar 31 14:55:22 +0000 2015,"One in five teens have tried e-cigarettes, a British study finds  http://ow.ly/L1I1D"
5.8291E+17,Tue Mar 31 14:20:51 +0000 2015,Study: Fruit and vegetable pesticides may cut sperm count by half   http://ow.ly/L1HYL
5.82902E+17,Tue Mar 31 13:45:43 +0000 2015,5 foods for better brain health http://ow.ly/L1HNH
5.82899E+17,Tue Mar 31 13:34:29 +0000 2015,7 things you should know about matcha  http://ow.ly/L1HLv
5.82667E+17,Mon Mar 30 22:15:10 +0000 2015,American who caught #Ebola improves to fair condition http://ow.ly/KZHsL
5.8266E+17,Mon Mar 30 21:45:14 +0000 2015,Device records snores to track sleep http://ow.ly/KZhdH
5.82654E+17,Mon Mar 30 21:20:14 +0000 2015,Kids’ fast food consumption on the decline  http://ow.ly/KZelq
5.82649E+17,Mon Mar 30 21:01:09 +0000 2015,Apple a day might keep the pharmacist away  http://ow.ly/KZehX
5.8264E+17,Mon Mar 30 20:25:16 +0000 2015,Scientists make new discovery about Stone-Age sex  http://ow.ly/KZ8uN
5.82634E+17,Mon Mar 30 20:01:52 +0000 2015,"How one woman is changing the way parents, kids talk about sex  http://ow.ly/KZ8p2"
5.82629E+17,Mon Mar 30 19:40:41 +0000 2015,Lululemon pants focus on male comfort http://ow.ly/KZ8gp
5.82622E+17,Mon Mar 30 19:15:08 +0000 2015,Los Angeles company to halt seafood distribution over listeria  http://ow.ly/KZ89r
5.82617E+17,Mon Mar 30 18:55:14 +0000 2015,Battling nightmare infections: US CDC’s plan to beat superbugs  http://ow.ly/KYKJq
5.8261E+17,Mon Mar 30 18:25:17 +0000 2015,"For disabled vets, playing team sports boosts quality of life  http://ow.ly/KYKEU"
5.82603E+17,Mon Mar 30 18:00:23 +0000 2015,"Mental illness alone does not explain Germanwings co-pilot’s behavior, experts say   http://ow.ly/KYKAq"
5.82597E+17,Mon Mar 30 17:35:06 +0000 2015,Britain to offer all infants meningitis B vaccine  http://ow.ly/KYKus
5.82589E+17,Mon Mar 30 17:05:32 +0000 2015,Why getting patients on their feet may speed recovery in ICU  http://ow.ly/KYJS3
5.82583E+17,Mon Mar 30 16:40:30 +0000 2015,Battlefield lessons transform US emergency care  http://ow.ly/KYJNX
5.82577E+17,Mon Mar 30 16:15:06 +0000 2015,Liberia urges sexual caution to beat Ebola outbreak  http://ow.ly/KYJH6
5.82572E+17,Mon Mar 30 15:55:07 +0000 2015,Experts caution against random drug testing in schools   http://ow.ly/KYJzm
5.82563E+17,Mon Mar 30 15:20:15 +0000 2015,Ohio family moving to Colorado for daughter’s medical marijuana treatments   http://ow.ly/KYJnY
5.82557E+17,Mon Mar 30 14:55:18 +0000 2015,"Measure kids’ medicines in metric units, not spoonfuls, doctors say http://ow.ly/KYJeg"
5.82549E+17,Mon Mar 30 14:25:26 +0000 2015,Hearing loss: Could your headphones be to blame?   http://www.foxnews.com/health/2015/03/27/hearing-loss-could-headphones-be-to-blame/  http://ow.ly/KYJ9Z
5.82546E+17,Mon Mar 30 14:12:36 +0000 2015,"Sugar-seeking MRI may detect cancer, improve biopsies   http://ow.ly/KYJ7a"
5.81797E+17,Sat Mar 28 12:35:22 +0000 2015,RT @drmannyonFOX: Want more health videos? Subscribe to my @YouTube channel and learn to live your healthiest life! http://ow.ly/KHES4
5.81785E+17,Sat Mar 28 11:49:00 +0000 2015,RT @drmannyonFOX: Take this short quiz today to test your knowledge of #alcohol and #pregnancy. http://ow.ly/KUOIc
5.81563E+17,Fri Mar 27 21:05:24 +0000 2015,British Ebola patient cured after experimental treatment  http://ow.ly/KTxKM
5.81555E+17,Fri Mar 27 20:35:25 +0000 2015,How to achieve a healthy pregnancy with HIV http://ow.ly/KTqiA  via @drmannyonfox
5.81549E+17,Fri Mar 27 20:10:22 +0000 2015,"Dad eats pot brownies, thinks he has a stroke http://ow.ly/KTjYF"
5.81543E+17,Fri Mar 27 19:45:24 +0000 2015,First junk food tax in US coming to Navajo Nation next month  http://ow.ly/KT4rX
5.81536E+17,Fri Mar 27 19:20:39 +0000 2015,Family blames marijuana candy for 22-year-old's suicide  http://ow.ly/KT4lJ
5.81527E+17,Fri Mar 27 18:45:08 +0000 2015,Oklahoma star braces for Sweet 16 -- with bullet lodged in shoulder   http://ow.ly/KT2Rs
5.81521E+17,Fri Mar 27 18:20:12 +0000 2015,Eyeliner too close to the eye leads to contamination  http://ow.ly/KSVyW
5.81515E+17,Fri Mar 27 17:55:22 +0000 2015,Moms' excess pregnancy weight linked to kids' obesity  http://ow.ly/KSUj0
5.8151E+17,Fri Mar 27 17:35:04 +0000 2015,Florida boy celebrates end of radiation with surprise visit from Power Rangers   http://ow.ly/KSSRi
5.81504E+17,Fri Mar 27 17:10:25 +0000 2015,Widows may have fewer social and financial problems than in the past http://ow.ly/KSyFR
5.81496E+17,Fri Mar 27 16:40:32 +0000 2015,Plain cigarette packs with health warnings may encourage quitting  http://ow.ly/KSyzY
5.8149E+17,Fri Mar 27 16:15:06 +0000 2015,"Ebola 'supervirus' is unlikely, experts say http://ow.ly/KSyuc"
5.81484E+17,Fri Mar 27 15:50:51 +0000 2015,Sierra Leoneans to stay home in final push to stop Ebola http://ow.ly/KSymM
5.81477E+17,Fri Mar 27 15:25:09 +0000 2015,Two experimental Ebola vaccines pass safety test in African trial http://ow.ly/KSyim
5.81472E+17,Fri Mar 27 15:05:15 +0000 2015,Maker of tainted medical scopes issues new cleaning guide http://ow.ly/KSycI
5.81466E+17,Fri Mar 27 14:41:26 +0000 2015,Germanwings co-pilot's past may hold keys to his actions http://ow.ly/KSPBf
5.81466E+17,Fri Mar 27 14:40:32 +0000 2015,"Answers to common questions about HIV, needles and drug use http://ow.ly/KSy9A"
5.81458E+17,Fri Mar 27 14:10:31 +0000 2015,White House crafts first-ever plan to fight superbugs http://ow.ly/KSy5o
5.81452E+17,Fri Mar 27 13:45:37 +0000 2015,How to manage a chronic condition in the workplace   http://ow.ly/KSy2a
5.81449E+17,Fri Mar 27 13:32:30 +0000 2015,Natalie Dormer's go-to fitness moves   http://ow.ly/KSxZV
5.81201E+17,Thu Mar 26 21:10:06 +0000 2015,Are smart pills &amp; brain zapping risky? Bioethicists weigh in  http://ow.ly/KQAa5
5.81197E+17,Thu Mar 26 20:50:20 +0000 2015,"American who contracted Ebola improves, in serious condition   http://ow.ly/KQlxb"
5.81188E+17,Thu Mar 26 20:15:27 +0000 2015,"With diabetic nerve damage, walking can pose fall risk   http://ow.ly/KQ7H1"
5.81183E+17,Thu Mar 26 19:55:26 +0000 2015,Evidence of xylitol's cavity-preventing benefits lacking  http://ow.ly/KQ5KO
5.81174E+17,Thu Mar 26 19:20:42 +0000 2015,Recovery time plays key role for NCAA’s March Madness athletes http://ow.ly/KQ5yN via @AHLex3889
5.81165E+17,Thu Mar 26 18:45:38 +0000 2015,Nurse helps mother-daughter team cross finish line of Georgia 5K  http://ow.ly/KPDVA
5.81156E+17,Thu Mar 26 18:10:29 +0000 2015,New Ebola infections continue to drop; Guinea still a concern  http://ow.ly/KPDSP
5.81152E+17,Thu Mar 26 17:55:22 +0000 2015,"Cholera will plague Haiti until water, sanitation crisis solved, experts say  http://ow.ly/KPDQ2"
5.81149E+17,Thu Mar 26 17:40:50 +0000 2015,"Ebola is most deadly among babies, young children, study finds  http://ow.ly/KPDLK"
5.81143E+17,Thu Mar 26 17:15:48 +0000 2015,A look at some key statistics on rare diseases in the US  http://ow.ly/KPDJ8
5.81137E+17,Thu Mar 26 16:55:27 +0000 2015,Mother's support is vital for sexually abused children  http://ow.ly/KPDGF
5.8113E+17,Thu Mar 26 16:25:34 +0000 2015,Boston hospital treating survivors of Honduran market blast  http://ow.ly/KPDDL
5.81125E+17,Thu Mar 26 16:05:21 +0000 2015,"Science, patients driving rare disease drug research surge   http://ow.ly/KPDyT"
